datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,wildfire
7/10/2020,97.1,55,75,47.1,43.5,0,,20.8,10.3,
7/11/2020,101,54.5,76.2,45.2,42.3,0,,15,11.4,
7/12/2020,99,55.3,75.3,47.6,43.9,0,,19.7,12.8,
7/13/2020,96.2,60.6,77.5,52.6,45.7,0,,15,13.9,
7/14/2020,98.1,60.2,77.8,52.7,45.2,0,,15,11.4,
7/15/2020,101,56,75.9,51.9,49.3,0,,15,11.4,
7/16/2020,97.1,56,74.4,54.3,53.9,0,,15,9.2,
7/17/2020,92.9,55.2,72.3,54.6,57.9,0,,17.2,12.8,
7/18/2020,98.1,56.5,74.9,52.7,52.3,0,,11.4,12.8,
7/19/2020,98.1,57,75,53.5,52.5,0,,9.2,9.2,
7/20/2020,96.2,55.4,72.3,52.9,56.7,0,,10.3,8.1,1
7/21/2020,92.9,56.2,71.8,54.5,58.7,0,,23,15,1
7/22/2020,90,56.5,69.9,54.5,62.2,0,,20.8,12.8,1
7/23/2020,96.2,57,73.7,52.1,52.8,0,,18.3,14.8,1
7/24/2020,95,59.7,74.7,51,47,0,,19.7,12.8,
7/25/2020,98.1,54.6,74.4,50.2,49.4,0,,20.8,13.9,1
7/26/2020,99,56.8,76.3,50.5,46.8,0,,18.3,13.9,
7/27/2020,100.1,56.5,76.5,47.1,42.9,0,,19.7,15,1
7/28/2020,101.9,56.8,76.5,47.6,44,0,,21.9,16.1,
7/29/2020,98.1,55.9,75.3,48.7,45.4,0,,10.3,11.4,
7/30/2020,98.1,55.4,73.6,45.6,44,0,,11.4,11.4,
7/31/2020,92.9,54,70.6,43.2,41.4,0,,17.2,10.3,
8/1/2020,95,53.7,73.6,45.9,43.9,0,,16.1,11.4,
8/2/2020,96.2,58,73.9,47,43.9,0,,23,12.8,
8/3/2020,92.9,57.5,73.4,49.5,46.1,0,,18.3,13.9,
8/4/2020,93.8,60.3,72.6,53.7,55.6,0,,19.7,12.4,
8/5/2020,77.4,59.6,66.4,53.9,65.3,0,,16.8,12.6,
8/6/2020,83.1,56.9,69.3,53.1,59.3,0,,21.7,14.8,1
8/7/2020,93.8,58,74.2,53.6,53.3,0,,21.9,12.8,
8/8/2020,99,60.4,78.3,53.6,47.6,0,,10.3,9.2,1
8/9/2020,104,59.3,79,53,46.3,0,,23,11.4,
8/10/2020,104,61.5,78.9,49.5,41.1,0,,21.9,13.9,1
8/11/2020,93.8,57.4,71.5,54.4,59.7,0,,15,8.1,
8/12/2020,97.1,54.5,73.4,46.8,49.7,0,,9.2,12.8,
8/13/2020,101.9,53.5,76.5,40.6,34,0,,11.4,11.4,1
8/14/2020,104,63.2,81.9,46.8,33.2,0,,13.9,9.9,
8/15/2020,106.1,65.1,83.9,52.5,38.7,0,,19.7,13.9,1
8/16/2020,104,69.6,82.9,54.7,41.1,0,,21.9,13.9,
8/17/2020,80.1,68.6,73.1,61.2,68.1,0.054,rain,18.3,8.6,1
8/18/2020,102.8,65.1,81.4,53.3,54,0,,30,16.1,1
8/19/2020,100.1,59.2,77.3,39.6,32.5,0,,23,15,1
8/20/2020,87.8,52.7,70.8,46,45.6,0,,22.9,15.4,1
8/21/2020,89.3,62.4,74.4,55.9,55,0,,17.2,11.8,
8/22/2020,99,59.4,76,55,54,0,,16.1,10.3,
8/23/2020,97.1,58.9,75.4,49.6,46.7,0,,15,12.8,
8/24/2020,93.8,65.3,76.5,51.4,44.2,0,,11.4,13.9,1
8/25/2020,93.8,59.3,74.8,47.4,41.4,0,,9.2,8.1,
8/26/2020,95,58.1,73.1,46,44.1,0,,19.7,15,
8/27/2020,95,53,71.8,50,51.2,0,,12.8,10.3,1
8/28/2020,93.8,58.7,73.2,54.7,56.2,0,,11.4,6.9,1
8/29/2020,88.1,53.7,67.5,53.8,61.7,0,,10.3,8,1
8/30/2020,97.1,53.9,72.9,53.2,55.7,0,,9.2,9.2,1
8/31/2020,91.1,57.9,71.4,53.3,56.2,0,,11.4,6.9,1
9/1/2020,82.4,56.7,67.9,53.9,62.9,0,,15,6.6,1
9/2/2020,83.4,56.9,67,55,68.1,0,,10.3,7.1,1
9/3/2020,96.2,55.9,71.2,53.5,59.5,0,,15,6.9,1
9/4/2020,97.1,54.4,71.5,46.6,46.3,0,,18.3,10.3,1
9/5/2020,107.1,55.4,76.9,45.9,42.4,0,,13.9,9.2,1
9/6/2020,109.1,60.7,81.2,46.6,36,0,,16.1,12.8,1
9/7/2020,110.9,64.9,84.5,44.8,31,0,,24.2,13.9,1
9/8/2020,79.7,60.2,70.1,45.4,42.2,0,,12.8,4.3,1
9/9/2020,67.3,56.7,60.9,46.1,58.8,0,,20.8,6.2,1
9/10/2020,68.2,52.9,59.6,49.1,68.8,0,,15,3.6,1
9/11/2020,82.4,48.4,63.3,48.2,62.9,0,,12.8,4.9,1
9/12/2020,95,50.7,68.7,45.9,52.6,0,,12.8,5.8,
9/13/2020,92,52.3,67.9,45.3,48.8,0,,15,11.4,
9/14/2020,85.1,50.1,66.1,46.8,57.1,0,,13.9,9.2,1
9/15/2020,87.6,50.3,67.3,46.2,54.4,0,,10.3,10.5,1
9/16/2020,87.2,54.2,68.6,54.2,63.7,0,,12.8,9.7,1
9/17/2020,84.4,59.3,70,54.5,63.1,0,,17.1,12.6,
9/18/2020,76.4,56.3,65.4,53.7,67.8,0,,15.5,11.4,1
9/19/2020,82.5,53.8,66.9,51.5,61.4,0,,21.9,9.9,1
9/20/2020,86.5,54.5,68.4,48.8,54.5,0,,17.2,9,1
9/21/2020,85.1,52.2,66.4,47.1,54.6,0,,19.7,12.6,1
9/22/2020,83.3,51.1,66.3,46,53.7,0,,20.8,11.6,1
9/23/2020,84.5,51,66.9,48.4,54.7,0,,13.9,11.4,1
9/24/2020,79.4,61.5,68.5,52.8,60,0,,21.4,13.9,1
9/25/2020,80.9,54.6,66.4,46.1,52.6,0,,18.4,12,1
9/26/2020,81.9,55.9,68.2,52.6,60.2,0,,20,12.7,1
9/27/2020,96.1,55.9,73.4,43.7,45.5,0,,12.8,5.2,1
9/28/2020,100.1,56.8,73.8,40.6,35.5,0,,11.4,4.7,1
9/29/2020,93.8,53.7,70.8,43,42,0,,11.4,11.4,1
9/30/2020,100.1,53.8,72.5,43.2,43.2,0,,17.2,9.1,1
10/1/2020,96.2,57.5,71,44.8,41.9,0,,19.7,8.1,1
10/2/2020,99,56.4,72.9,43.6,41.3,0,,17.2,9.2,1
10/3/2020,99,53.5,72.8,39.2,37.5,0,,23,15,1
10/4/2020,95,50.9,68.4,38.8,40.9,0,,16.1,10.3,1
10/5/2020,95,49,68,39.5,43.1,0,,10.3,5.8,1
